id,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1012,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/28/60f7464e-e903-418f-9bb3-9e782595a3cf-1643373176561-da9e2d5bde6d147dee13b4e10569bdd3.jpg,Wisma Matahari 1,Guest House,Pitumpanua Wajo,Jl. Poros. Ciromanie. Keera. Kabupaten Wajo. Sulawesi Selatan,Belum ada rating,136503,182004,-3.821953,120.323981
1013,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/16/06f1dfdf-cf6c-4177-b7cb-d1fbfeecab89-1642323924071-8ccf101fc8c5bb9cb46ee8030e0ad66b.jpg,Hotel Grand Rofina Sinjai,Hotel,Sinjai Utara Sinjai,Jln.Jendral Sudirman No.51. Kel. Biringere. Kab.Sinjai. Kec.Sinjai Utara. Sulawesi Selatan. Indonesia,3.6,350000,880000,-5.130081,120.249207
1014,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/07/10/a3770b40-bcc7-4df4-a2c1-96084ada6486-1657462539260-e2fa730e6a25c3d8dbd0dca132a813dd.jpg,Sudiang Inn,Guest House,Biring Kanaya Makassar,Jl. Bumi Permata Sudiang No.12. Sudiang. Kec. Biringkanaya. Kota Makassar. Sulawesi Selatan 90246,4.0,218422,218422,-5.081853,119.527608
1015,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/23/c15c7146-c2d2-4ca3-a61d-560ed7ee29f8-1653313846305-97219e874f629c93a2fc7b7c98cdb274.jpg,Hotel Denpasar Parepare,Hotel,Soreang Parepare,'Jalan Abubakar Lambogo' 'No.91. Bukit Harapan. Kecamatan Soreang',Belum ada rating,200341,230625,-4.005849838256836,119.63658905029297
1016,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/23/27d2f4e5-c671-43b7-b4d4-ae3376952af5-1629683719647-e3746c771d12e3c383dff74d4804c90d.jpg,Hotel Bunga Permata,Hotel,Maros Baru Maros,Jl. Poros. Marumpa. Kec. Marusu. Kabupaten Maros. Sulawesi Selatan No 7,3.8,250000,350000,-5.057598,119.534964
1017,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/01/b15ccd7b-3d41-4d89-93ad-af126aaa690f-1662041159643-73f02d1a9e166bafff8e369af0b7a834.jpg,OYO 91073 Rantepao Lodge,Hotel,Rantepao Tana Toraja,0.Jl. Tongkonan Kua. Rinding Batu. Kec. Kesu. Kabupaten Toraja Utara. Sulawesi Selatan .91835.Makassar.South Sulawesi,Belum ada rating,214512,424010,-2.98544865510791,119.890066199005
1018,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/18/82adfe7d-f2aa-41a6-ab22-368b143d41c0-1634563844846-804bb3cb94854f84eac5ffdebaa06dd9.jpg,Freddies Santai Sumurtiga,Resort,Sabang,Jl. Bahagia. Skajaya. Sabang,4.2,308750,475001,5.8909101486206055,95.34078216552734
1019,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/be0e5220-0501-485b-86f2-bc82131c11cc-1604131378637-8de3b0792c76f3d1f5eea3b732baa8fb.jpg,GM Inn Hotel Aceh,Hotel,Kuta Alam Banda Aceh,Jl. Khairil Anwar No.15-19. Peunayong. Kuta Alam. Kota Banda Aceh. Aceh 24415. Indonesia,3.8,265699,464822,5.557882,95.321038
1020,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/27/9e46612a-3ddb-412c-b515-8674b301ae9d-1640575525352-cee8e25ce53d9b4a7f6496e3adfd9030.jpg,Plum Hotel Lading Banda Aceh,Hotel,Baiturrahman Banda Aceh,Jalan Cut Meutia 19. Kampung Baru. Kec Baiturrahman. Kota Banda Aceh. Aceh,4.2,277200,349999,5.555826,95.317267
1021,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/0e23fa3d-8bd0-46a8-8b43-e80ae83d63be-1604149776905-8a03d86ec6d73ae7894407f9c329166d.jpg,RedDoorz Syariah @ Sumur Tiga Beach Sabang,Hotel,Sukajaya Sabang,Jl. K.H. Agus Salim No.3. Ujong Kareung. Sukajaya. Kota Sabang. Aceh,3.6,204750,204750,5.887755,95.344051
1022,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/6114d334-c495-460e-aece-5fb2574dd1f1-1604131614105-962098d07d5b3b4587f75071d13927c9.jpg,OYO 854 UB Caisar Hotel,Hotel,Syiah Kuala Banda Aceh,Jl. Teuku Nyak Arief No 17-24. Lamgugob. Syiah Kuala. Kota Banda Aceh. Aceh 23114. Indonesia. Banda Aceh,2.9,152075,284586,5.579585,95.353817
1023,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/c4a6a24c-ce7a-480b-8598-ed972adc1aef-1604158227955-7264bac0c236d53aec0e9f7b287445b8.jpg,Mita Mulia Hotel,Hotel,Syiah Kuala Banda Aceh,Jl. Teuku Nyak Arief No.23. Kec. Syiah Kuala. Kota Banda Aceh. Aceh. Indonesia,3.4,277200,376200,5.572208,95.365385
